Iteration,Encryption Time,Decryption Time
0, 3553, 3559
1, 3553, 3559
2, 3554, 3559
3, 3554, 3559
4, 3554, 3560
5, 3554, 3560
6, 3554, 3559
7, 3553, 3559
8, 3553, 3559
9, 3553, 3560
10, 3553, 3558
11, 3553, 3559
12, 3554, 3559
13, 3553, 3560
14, 3554, 3560
15, 3554, 3560
16, 3556, 3559
17, 3557, 3559
18, 3557, 3556
19, 3556, 3557
20, 3556, 3556
21, 3556, 3556
22, 3556, 3557
23, 3556, 3556
24, 3557, 3556
25, 3556, 3557
26, 3556, 3557
27, 3555, 3556
28, 3556, 3559
29, 3553, 3560
30, 3553, 3559
31, 3553, 3559
32, 3554, 3559
33, 3553, 3559
34, 3554, 3559
35, 3553, 3560
36, 3553, 3559
37, 3553, 3560
38, 3553, 3559
39, 3556, 3559
40, 3557, 3559
41, 3556, 3557
42, 3557, 3557
43, 3556, 3557
44, 3556, 3556
45, 3556, 3557
46, 3556, 3557
47, 3557, 3557
48, 3557, 3556
49, 3556, 3556
50, 3556, 3557
51, 3556, 3560
52, 3554, 3560
53, 3554, 3560
54, 3553, 3560
55, 3554, 3559
56, 3554, 3559
57, 3554, 3559
58, 3553, 3560
59, 3554, 3560
60, 3554, 3560
61, 3554, 3559
62, 3557, 3560
63, 3556, 3559
64, 3556, 3557
65, 3556, 3557
66, 3556, 3556
67, 3556, 3557
68, 3556, 3557
69, 3556, 3557
70, 3556, 3556
71, 3556, 3557
72, 3555, 3556
73, 3556, 3556
74, 3556, 3560
75, 3553, 3559
76, 3554, 3559
77, 3553, 3560
78, 3553, 3559
79, 3554, 3559
80, 3554, 3560
81, 3554, 3559
82, 3553, 3559
83, 3553, 3559
84, 3554, 3559
85, 3556, 3559
86, 3557, 3560
87, 3556, 3557
88, 3557, 3556
89, 3557, 3557
90, 3556, 3557
91, 3556, 3556
92, 3557, 3557
93, 3556, 3556
94, 3555, 3556
95, 3556, 3557
96, 3556, 3557
97, 3556, 3560
98, 3554, 3560
99, 3553, 3559
100, 3554, 3560
101, 3554, 3559
102, 3554, 3560
103, 3553, 3560
104, 3554, 3559
105, 3556, 3557
106, 3556, 3556
107, 3556, 3556
108, 3556, 3556
109, 3556, 3556
110, 3556, 3556
111, 3554, 3559
112, 3553, 3559
113, 3553, 3560
114, 3554, 3559
115, 3553, 3560
116, 3556, 3559
117, 3556, 3557
118, 3556, 3557
119, 3556, 3557
120, 3556, 3557
121, 3556, 3557
122, 3557, 3559
123, 3553, 3560
124, 3553, 3559
125, 3553, 3560
126, 3553, 3559
127, 3553, 3560
128, 3556, 3559
129, 3556, 3556
130, 3557, 3556
131, 3556, 3557
132, 3556, 3556
133, 3557, 3557
134, 3556, 3559
135, 3552, 3558
136, 3553, 3559
137, 3554, 3559
138, 3553, 3560
139, 3554, 3559
140, 3556, 3559
141, 3556, 3556
142, 3556, 3557
143, 3557, 3557
144, 3556, 3557
145, 3556, 3557
146, 3553, 3559
147, 3553, 3560
148, 3554, 3560
149, 3553, 3560
150, 3553, 3560
151, 3553, 3559
152, 3556, 3559
153, 3556, 3557
154, 3557, 3557
155, 3556, 3556
156, 3556, 3557
157, 3556, 3556
158, 3553, 3560
159, 3554, 3560
160, 3553, 3560
161, 3553, 3560
162, 3553, 3560
163, 3556, 3559
164, 3556, 3557
165, 3556, 3557
166, 3556, 3556
167, 3556, 3557
168, 3556, 3556
169, 3556, 3559
170, 3554, 3559
171, 3553, 3560
172, 3554, 3559
173, 3554, 3559
174, 3553, 3560
175, 3556, 3559
176, 3556, 3556
177, 3557, 3557
178, 3556, 3557
179, 3555, 3556
180, 3557, 3557
181, 3556, 3559
182, 3553, 3560
183, 3553, 3560
184, 3554, 3560
185, 3553, 3560
186, 3553, 3559
187, 3556, 3559
188, 3556, 3557
189, 3556, 3556
190, 3556, 3556
191, 3557, 3556
192, 3557, 3556
193, 3554, 3560
194, 3554, 3559
195, 3553, 3560
196, 3554, 3559
197, 3554, 3559
198, 3553, 3559
199, 3556, 3560
200, 3556, 3557
201, 3557, 3556
202, 3556, 3557
203, 3556, 3557
204, 3556, 3556
205, 3554, 3559
206, 3554, 3559
207, 3554, 3559
208, 3554, 3559
209, 3554, 3559
210, 3556, 3559
211, 3557, 3556
212, 3556, 3557
213, 3556, 3557
214, 3556, 3557
215, 3556, 3557
216, 3556, 3557
217, 3554, 3559
218, 3553, 3560
219, 3553, 3559
220, 3554, 3559
221, 3553, 3560
222, 3556, 3559
223, 3557, 3556
224, 3556, 3557
225, 3556, 3556
226, 3556, 3557
227, 3556, 3557
228, 3556, 3559
229, 3553, 3559
230, 3553, 3560
231, 3553, 3560
232, 3554, 3559
233, 3554, 3559
234, 3556, 3560
235, 3556, 3556
236, 3557, 3556
237, 3555, 3556
238, 3556, 3557
239, 3556, 3557
240, 3553, 3559
241, 3554, 3560
242, 3554, 3559
243, 3554, 3559
244, 3553, 3559
245, 3554, 3560
246, 3556, 3560
247, 3556, 3557
248, 3556, 3556
249, 3556, 3557
250, 3556, 3556
251, 3556, 3557
252, 3554, 3559
253, 3553, 3559
