Iteration,Encryption Time,Decryption Time
0, 2292, 2289
1, 2292, 2288
2, 2292, 2289
3, 2292, 2289
4, 2292, 2289
5, 2291, 2288
6, 2291, 2288
7, 2291, 2288
8, 2292, 2289
9, 2291, 2289
10, 2292, 2288
11, 2292, 2288
12, 2292, 2291
13, 2292, 2291
14, 2291, 2291
15, 2292, 2291
16, 2292, 2292
17, 2291, 2292
18, 2294, 2289
19, 2294, 2289
20, 2294, 2289
21, 2294, 2288
22, 2294, 2289
23, 2294, 2288
24, 2294, 2287
25, 2292, 2288
26, 2292, 2288
27, 2291, 2288
28, 2291, 2288
29, 2292, 2289
30, 2292, 2289
31, 2292, 2289
32, 2291, 2287
33, 2292, 2289
34, 2292, 2289
35, 2292, 2292
36, 2292, 2291
37, 2292, 2292
38, 2292, 2291
39, 2292, 2291
40, 2292, 2291
41, 2292, 2288
42, 2295, 2288
43, 2295, 2288
44, 2295, 2289
45, 2295, 2288
46, 2295, 2289
47, 2295, 2289
48, 2292, 2288
49, 2292, 2289
50, 2292, 2289
51, 2292, 2289
52, 2292, 2288
53, 2292, 2288
54, 2292, 2288
55, 2292, 2288
56, 2292, 2289
57, 2291, 2289
58, 2292, 2291
59, 2292, 2291
60, 2291, 2290
61, 2291, 2291
62, 2292, 2291
63, 2292, 2292
64, 2292, 2291
65, 2294, 2289
66, 2295, 2288
67, 2294, 2289
68, 2295, 2288
69, 2294, 2288
70, 2294, 2289
71, 2294, 2289
72, 2291, 2289
73, 2291, 2289
74, 2291, 2289
75, 2292, 2289
76, 2291, 2289
77, 2292, 2288
78, 2291, 2289
79, 2292, 2288
80, 2292, 2288
81, 2292, 2290
82, 2292, 2291
83, 2292, 2291
84, 2292, 2291
85, 2292, 2291
86, 2292, 2291
87, 2292, 2291
88, 2295, 2288
89, 2295, 2288
90, 2295, 2288
91, 2295, 2288
92, 2295, 2288
93, 2295, 2289
94, 2295, 2288
95, 2292, 2288
96, 2291, 2288
97, 2292, 2289
98, 2292, 2288
99, 2292, 2288
100, 2292, 2288
101, 2291, 2289
102, 2292, 2289
103, 2292, 2292
104, 2292, 2291
105, 2292, 2291
106, 2295, 2288
107, 2294, 2289
108, 2295, 2288
109, 2292, 2289
110, 2291, 2288
111, 2292, 2289
112, 2291, 2288
113, 2292, 2288
114, 2292, 2291
115, 2291, 2291
116, 2292, 2292
117, 2292, 2291
118, 2294, 2288
119, 2294, 2289
120, 2295, 2289
121, 2292, 2289
122, 2291, 2288
123, 2291, 2288
124, 2292, 2288
125, 2292, 2289
126, 2292, 2291
127, 2292, 2292
128, 2292, 2291
129, 2291, 2291
130, 2295, 2289
131, 2295, 2288
132, 2295, 2288
133, 2292, 2289
134, 2292, 2288
135, 2292, 2288
136, 2292, 2289
137, 2292, 2289
138, 2292, 2291
139, 2292, 2291
140, 2292, 2290
141, 2295, 2288
142, 2294, 2288
143, 2294, 2289
144, 2294, 2288
145, 2291, 2288
146, 2291, 2288
147, 2292, 2289
148, 2292, 2289
149, 2291, 2288
150, 2291, 2291
151, 2292, 2291
152, 2292, 2291
153, 2294, 2288
154, 2294, 2289
155, 2295, 2288
156, 2294, 2289
157, 2292, 2289
158, 2292, 2288
159, 2292, 2288
160, 2292, 2288
161, 2292, 2289
162, 2291, 2290
163, 2292, 2291
164, 2292, 2291
