Iteration,Encryption Time,Decryption Time
0, 2608, 4777
1, 2605, 4777
2, 2605, 4783
3, 2608, 4775
4, 2608, 4777
5, 2607, 4777
6, 2605, 4778
7, 2605, 4779
8, 2607, 4778
9, 2608, 4778
10, 2608, 4776
11, 2608, 4776
12, 2605, 4779
13, 2605, 4774
14, 2608, 4777
15, 2608, 4778
16, 2608, 4779
17, 2608, 4779
18, 2608, 4778
19, 2605, 4779
20, 2605, 4778
21, 2607, 4780
22, 2608, 4778
23, 2608, 4778
24, 2607, 4776
25, 2605, 4775
26, 2605, 4777
27, 2605, 4778
28, 2608, 4779
29, 2608, 4775
30, 2608, 4779
31, 2608, 4777
32, 2605, 4778
33, 2605, 4777
34, 2605, 4779
35, 2608, 4778
36, 2608, 4778
37, 2608, 4777
38, 2607, 4775
39, 2606, 4778
40, 2605, 4779
41, 2605, 4778
42, 2608, 4779
43, 2608, 4782
44, 2608, 4777
45, 2608, 4776
46, 2605, 4782
47, 2605, 4778
48, 2605, 4777
49, 2608, 4777
50, 2607, 4778
51, 2608, 4781
52, 2608, 4775
53, 2605, 4779
54, 2605, 4778
55, 2605, 4776
56, 2608, 4778
57, 2608, 4779
58, 2607, 4776
59, 2608, 4776
60, 2605, 4778
61, 2605, 4780
62, 2605, 4778
63, 2608, 4779
64, 2607, 4777
65, 2608, 4778
66, 2608, 4776
67, 2605, 4776
68, 2605, 4782
69, 2605, 4779
70, 2607, 4780
71, 2608, 4778
72, 2608, 4777
73, 2608, 4774
74, 2605, 4779
75, 2605, 4779
76, 2605, 4781
77, 2608, 4778
78, 2608, 4778
79, 2608, 4776
80, 2608, 4774
81, 2605, 4776
82, 2605, 4779
83, 2605, 4780
84, 2608, 4780
85, 2608, 4780
86, 2608, 4778
87, 2608, 4774
88, 2605, 4781
89, 2605, 4779
90, 2605, 4781
91, 2608, 4778
92, 2608, 4781
93, 2607, 4775
94, 2608, 4777
95, 2605, 4780
96, 2605, 4781
97, 2608, 4777
98, 2608, 4780
99, 2608, 4777
100, 2608, 4775
101, 2607, 4776
102, 2605, 4778
103, 2606, 4778
104, 2605, 4779
105, 2605, 4778
106, 2608, 4780
107, 2608, 4777
108, 2608, 4778
109, 2607, 4779
110, 2608, 4774
111, 2608, 4774
112, 2605, 4778
113, 2605, 4781
114, 2605, 4776
115, 2605, 4780
116, 2607, 4779
117, 2607, 4778
118, 2608, 4778
119, 2608, 4778
120, 2608, 4775
121, 2608, 4775
122, 2605, 4779
123, 2605, 4780
124, 2605, 4779
125, 2605, 4779
126, 2608, 4779
127, 2608, 4779
128, 2607, 4780
129, 2608, 4777
130, 2608, 4774
131, 2605, 4775
132, 2605, 4779
133, 2605, 4780
134, 2605, 4778
135, 2608, 4776
136, 2608, 4776
137, 2608, 4777
138, 2608, 4777
139, 2608, 4775
140, 2607, 4775
141, 2605, 4778
142, 2605, 4778
143, 2605, 4778
144, 2605, 4780
145, 2608, 4780
146, 2608, 4778
147, 2608, 4780
148, 2607, 4779
149, 2608, 4776
150, 2608, 4774
151, 2605, 4779
152, 2605, 4779
153, 2605, 4778
154, 2605, 4776
155, 2607, 4780
156, 2607, 4779
157, 2608, 4777
158, 2607, 4773
159, 2608, 4775
160, 2608, 4777
161, 2605, 4777
162, 2605, 4779
163, 2604, 4778
164, 2608, 4779
165, 2608, 4779
166, 2607, 4780
167, 2608, 4778
168, 2608, 4777
169, 2607, 4775
170, 2605, 4778
171, 2605, 4777
172, 2605, 4776
173, 2605, 4777
174, 2608, 4777
175, 2608, 4781
176, 2607, 4778
177, 2608, 4776
178, 2608, 4778
179, 2608, 4777
180, 2605, 4777
181, 2606, 4775
182, 2605, 4779
183, 2605, 4778
184, 2608, 4778
185, 2608, 4782
186, 2608, 4778
187, 2607, 4779
188, 2608, 4777
189, 2608, 4774
190, 2605, 4780
191, 2605, 4780
192, 2605, 4776
193, 2605, 4780
194, 2607, 4778
195, 2607, 4781
196, 2608, 4779
197, 2608, 4774
198, 2608, 4773
199, 2608, 4775
200, 2604, 4778
201, 2605, 4780
202, 2605, 4776
203, 2608, 4776
204, 2608, 4781
205, 2608, 4776
206, 2608, 4780
207, 2608, 4778
208, 2608, 4777
209, 2605, 4778
210, 2604, 4779
211, 2605, 4777
212, 2606, 4779
213, 2608, 4777
214, 2608, 4778
215, 2608, 4779
216, 2608, 4778
217, 2608, 4777
218, 2607, 4776
219, 2605, 4780
220, 2605, 4781
221, 2605, 4780
222, 2605, 4778
223, 2608, 4782
224, 2608, 4780
225, 2608, 4780
226, 2607, 4778
227, 2608, 4774
228, 2607, 4775
229, 2605, 4779
230, 2605, 4780
231, 2605, 4778
232, 2605, 4778
233, 2608, 4780
234, 2608, 4778
235, 2608, 4780
236, 2608, 4775
237, 2608, 4776
238, 2608, 4776
239, 2605, 4780
240, 2605, 4780
241, 2605, 4779
242, 2608, 4780
243, 2607, 4778
244, 2608, 4777
245, 2608, 4779
246, 2608, 4775
247, 2608, 4774
248, 2605, 4779
249, 2605, 4778
250, 2605, 4779
251, 2606, 4777
252, 2608, 4778
253, 2608, 4778
254, 2608, 4780
255, 2608, 4778
256, 2608, 4773
257, 2607, 4777
258, 2605, 4778
259, 2606, 4779
260, 2605, 4779
261, 2605, 4780
262, 2607, 4779
263, 2608, 4778
264, 2608, 4779
265, 2608, 4780
266, 2608, 4776
267, 2607, 4776
268, 2605, 4781
269, 2605, 4780
270, 2605, 4779
271, 2605, 4779
272, 2608, 4778
273, 2607, 4781
274, 2608, 4778
275, 2607, 4776
276, 2608, 4774
277, 2608, 4777
278, 2604, 4777
279, 2605, 4779
280, 2605, 4779
281, 2608, 4778
282, 2608, 4778
283, 2608, 4778
284, 2608, 4779
285, 2608, 4776
286, 2608, 4776
287, 2605, 4776
288, 2605, 4778
289, 2605, 4780
290, 2605, 4777
291, 2608, 4778
292, 2608, 4781
293, 2608, 4778
294, 2607, 4780
295, 2608, 4775
296, 2608, 4776
297, 2605, 4781
298, 2606, 4777
299, 2605, 4778
300, 2605, 4778
301, 2608, 4779
302, 2608, 4779
303, 2608, 4777
304, 2608, 4776
305, 2608, 4777
306, 2607, 4776
307, 2605, 4779
308, 2605, 4781
309, 2605, 4779
310, 2605, 4779
311, 2608, 4779
312, 2608, 4780
313, 2608, 4781
314, 2608, 4777
315, 2608, 4775
316, 2608, 4776
317, 2605, 4778
318, 2605, 4777
319, 2605, 4780
320, 2608, 4779
321, 2607, 4780
322, 2607, 4781
323, 2608, 4777
324, 2607, 4776
325, 2608, 4772
326, 2605, 4781
327, 2605, 4779
328, 2605, 4779
329, 2605, 4780
330, 2608, 4777
331, 2608, 4780
332, 2607, 4777
333, 2608, 4778
334, 2608, 4776
335, 2607, 4776
336, 2605, 4780
337, 2605, 4780
338, 2605, 4779
339, 2605, 4776
340, 2608, 4778
341, 2608, 4779
342, 2608, 4777
343, 2608, 4775
344, 2608, 4776
345, 2608, 4776
346, 2605, 4778
347, 2605, 4779
348, 2605, 4779
349, 2605, 4779
350, 2608, 4776
351, 2607, 4779
352, 2608, 4781
353, 2608, 4776
354, 2608, 4776
355, 2608, 4776
356, 2605, 4777
357, 2605, 4775
358, 2604, 4778
359, 2608, 4779
360, 2607, 4780
361, 2607, 4776
362, 2608, 4779
363, 2608, 4774
364, 2608, 4773
365, 2606, 4778
366, 2605, 4779
367, 2605, 4779
