Iteration,Encryption Time,Decryption Time
0, 334, 388
1, 334, 388
2, 333, 388
3, 334, 388
4, 333, 388
5, 336, 385
6, 336, 385
7, 336, 385
8, 336, 386
9, 336, 385
10, 336, 385
11, 333, 385
12, 334, 385
13, 333, 388
14, 333, 388
15, 333, 388
16, 334, 388
17, 336, 385
18, 336, 386
19, 336, 385
20, 333, 386
21, 333, 385
22, 333, 386
23, 334, 388
24, 334, 388
25, 333, 388
26, 336, 385
27, 336, 385
28, 336, 386
29, 336, 385
30, 333, 386
31, 334, 385
32, 334, 388
33, 334, 388
34, 334, 388
35, 333, 388
36, 336, 386
37, 336, 385
38, 336, 385
39, 333, 386
40, 334, 385
41, 333, 385
42, 334, 388
43, 334, 388
44, 334, 388
45, 336, 385
46, 336, 385
47, 336, 386
48, 336, 385
49, 333, 386
50, 333, 386
51, 334, 388
52, 333, 388
53, 334, 388
54, 334, 388
55, 336, 385
56, 336, 385
57, 337, 385
58, 333, 386
59, 334, 385
60, 334, 385
61, 333, 388
62, 334, 387
63, 333, 388
64, 336, 385
65, 336, 385
66, 336, 386
67, 336, 385
68, 333, 386
69, 334, 385
70, 334, 388
71, 334, 388
72, 334, 388
73, 333, 388
74, 336, 385
75, 337, 386
76, 336, 385
77, 334, 385
78, 333, 385
79, 334, 385
80, 334, 388
81, 333, 388
82, 334, 388
83, 336, 385
84, 336, 385
85, 336, 386
86, 336, 386
87, 333, 385
88, 334, 385
89, 334, 388
90, 334, 388
91, 334, 387
92, 334, 388
93, 336, 385
94, 337, 385
95, 336, 385
96, 333, 385
97, 333, 385
98, 333, 386
99, 333, 388
100, 333, 388
101, 333, 388
102, 336, 385
103, 336, 386
104, 333, 385
105, 334, 385
106, 333, 388
107, 334, 387
108, 333, 388
109, 336, 386
110, 336, 386
111, 333, 385
112, 334, 385
113, 334, 388
114, 333, 388
115, 333, 388
116, 337, 385
117, 337, 385
118, 334, 385
119, 334, 385
120, 333, 388
121, 334, 388
122, 336, 385
123, 336, 385
124, 336, 385
125, 334, 385
126, 333, 385
127, 334, 388
128, 333, 388
129, 336, 385
130, 336, 385
131, 333, 385
132, 334, 385
133, 334, 388
134, 334, 388
135, 334, 388
136, 336, 386
137, 336, 385
138, 333, 385
139, 334, 385
140, 333, 388
141, 334, 388
142, 333, 388
143, 336, 385
144, 336, 386
145, 334, 385
146, 333, 385
147, 334, 387
148, 333, 388
149, 333, 388
150, 337, 386
151, 336, 385
152, 333, 386
153, 334, 385
154, 333, 388
155, 333, 388
156, 336, 385
157, 336, 385
158, 336, 385
159, 333, 386
160, 333, 386
161, 334, 388
162, 334, 388
163, 336, 385
164, 336, 385
165, 336, 385
166, 333, 385
167, 334, 388
168, 333, 388
169, 334, 388
170, 336, 385
171, 336, 386
172, 333, 385
173, 333, 386
174, 333, 388
175, 333, 388
176, 334, 388
177, 336, 386
178, 336, 385
179, 334, 385
180, 333, 386
181, 334, 388
182, 334, 388
183, 334, 388
184, 336, 386
185, 336, 386
186, 334, 385
187, 333, 385
188, 333, 388
189, 333, 388
190, 336, 385
191, 336, 385
192, 336, 386
193, 333, 385
194, 334, 385
195, 333, 388
196, 334, 388
197, 336, 385
198, 336, 385
199, 336, 386
200, 333, 385
201, 334, 388
202, 334, 388
203, 334, 388
204, 336, 385
205, 336, 385
206, 333, 385
207, 333, 385
208, 334, 388
209, 333, 388
210, 333, 388
211, 336, 385
212, 336, 386
213, 334, 385
214, 333, 386
215, 333, 388
216, 333, 388
217, 333, 388
218, 336, 385
219, 337, 385
220, 334, 385
221, 333, 385
222, 334, 388
223, 333, 388
224, 333, 388
225, 336, 386
226, 336, 385
227, 334, 385
228, 333, 385
229, 334, 388
230, 333, 388
231, 336, 385
232, 336, 385
233, 337, 385
234, 333, 385
235, 333, 386
236, 334, 388
237, 334, 388
238, 337, 386
239, 336, 385
240, 333, 385
241, 333, 385
242, 334, 388
243, 333, 388
244, 334, 388
245, 336, 385
246, 336, 385
247, 333, 386
248, 333, 385
249, 334, 388
250, 334, 388
251, 333, 388
252, 336, 386
253, 337, 385
254, 333, 386
255, 333, 386
256, 333, 388
257, 334, 388
258, 334, 388
259, 337, 385
260, 336, 385
261, 333, 386
262, 334, 385
263, 334, 388
264, 334, 388
265, 336, 385
266, 336, 385
267, 336, 385
268, 333, 386
269, 334, 385
270, 334, 388
271, 333, 388
272, 336, 386
273, 336, 386
274, 333, 385
275, 334, 385
276, 333, 388
277, 334, 388
278, 333, 388
279, 336, 385
280, 337, 385
281, 334, 385
282, 334, 385
